symbol,timestamp,tradingDay,open,high,low,close,volume
"IBM","2020-05-14T09:00:00-04:00","2020-05-14","114.57","114.57","112.31","112.44","558466"
"IBM","2020-05-14T10:00:00-04:00","2020-05-14","112.43","114.32","111.81","113.74","924048"
"IBM","2020-05-14T11:00:00-04:00","2020-05-14","113.71","114.85","113.5963","114.27","518029"
"IBM","2020-05-14T12:00:00-04:00","2020-05-14","114.3","115.87","114.19","115.87","463961"
"IBM","2020-05-14T13:00:00-04:00","2020-05-14","115.88","116.45","115.475","115.49","432125"
"IBM","2020-05-14T14:00:00-04:00","2020-05-14","115.45","115.91","114.98","115.5","276154"
"IBM","2020-05-14T15:00:00-04:00","2020-05-14","115.49","117.01","115.36","117.01","656816"
"IBM","2020-05-15T09:00:00-04:00","2020-05-15","115.89","117.04","115.25","116.97","320122"
"IBM","2020-05-15T10:00:00-04:00","2020-05-15","116.95","117.39","116.04","116.23","406707"
"IBM","2020-05-15T11:00:00-04:00","2020-05-15","116.2069","116.4793","115.75","116.37","250509"
"IBM","2020-05-15T12:00:00-04:00","2020-05-15","116.36","116.825","116.11","116.27","253289"
"IBM","2020-05-15T13:00:00-04:00","2020-05-15","116.29","117.055","116.28","116.9377","204870"
"IBM","2020-05-15T14:00:00-04:00","2020-05-15","116.94","117.305","116.61","116.65","234386"
"IBM","2020-05-15T15:00:00-04:00","2020-05-15","116.67","117.06","116.11","117","617453"
"IBM","2020-05-18T09:00:00-04:00","2020-05-18","119.88","120.86","119.75","120.28","483475"
"IBM","2020-05-18T10:00:00-04:00","2020-05-18","120.34","121.3654","120.13","121.0513","474780"
"IBM","2020-05-18T11:00:00-04:00","2020-05-18","121.01","121.55","120.99","121.28","386516"
"IBM","2020-05-18T12:00:00-04:00","2020-05-18","121.27","121.45","120.94","121.29","280809"
"IBM","2020-05-18T13:00:00-04:00","2020-05-18","121.3","121.61","121.23","121.5706","248235"
"IBM","2020-05-18T14:00:00-04:00","2020-05-18","121.58","121.855","121.42","121.65","240643"
"IBM","2020-05-18T15:00:00-04:00","2020-05-18","121.6429","122.36","121.52","121.53","693772"
"IBM","2020-05-19T09:00:00-04:00","2020-05-19","121.19","121.29","120.7","121.01","312571"
"IBM","2020-05-19T10:00:00-04:00","2020-05-19","121.02","122.17","120.91","121.45","410104"
"IBM","2020-05-19T11:00:00-04:00","2020-05-19","121.43","121.87","121.23","121.54","250656"
"IBM","2020-05-19T12:00:00-04:00","2020-05-19","121.52","121.6","121.14","121.48","167429"
"IBM","2020-05-19T13:00:00-04:00","2020-05-19","121.47","121.92","121.295","121.56","191721"
"IBM","2020-05-19T14:00:00-04:00","2020-05-19","121.58","122.125","120.9705","121.12","364248"
"IBM","2020-05-19T15:00:00-04:00","2020-05-19","121.12","121.93","120.17","120.27","591386"
"IBM","2020-05-20T09:00:00-04:00","2020-05-20","120.93","121.76","120.6","121.44","446990"
"IBM","2020-05-20T10:00:00-04:00","2020-05-20","121.44","122.4659","121.43","121.715","428466"
"IBM","2020-05-20T11:00:00-04:00","2020-05-20","121.73","121.91","121.426","121.465","271104"
