symbol,timestamp,tradingDay,open,high,low,close,volume
GOOG,13/05/2020 15:10,13/05/2020,13369,1339032,133379,1334365,9322
GOOG,13/05/2020 15:15,13/05/2020,133418,133569,1331517,133569,15943
GOOG,13/05/2020 15:20,13/05/2020,1336136,1336872,132925,132977,10750
GOOG,13/05/2020 15:25,13/05/2020,1329875,133771,13284,1336991,10009
GOOG,13/05/2020 15:30,13/05/2020,133637,1340154,133402,1339439,11526
GOOG,13/05/2020 15:35,13/05/2020,133907,134251,133728,1339068,20126
GOOG,13/05/2020 15:40,13/05/2020,1339534,134368,1339534,1342008,13701
GOOG,13/05/2020 15:45,13/05/2020,134193,134555,133901,13449,21613
GOOG,13/05/2020 15:50,13/05/2020,134456,135151,134409,135145,24643
GOOG,13/05/2020 15:55,13/05/2020,134937,135193,134643,134988,62361
GOOG,13/05/2020 16:00,13/05/2020,134933,134933,134933,134933,115942
GOOG,14/05/2020 09:30,14/05/2020,133502,1341,1333341,133837,44841
GOOG,14/05/2020 09:35,14/05/2020,133884,1345145,133792,1339415,13551
GOOG,14/05/2020 09:40,14/05/2020,1338955,1338955,1330911,133225,12442
GOOG,14/05/2020 09:45,14/05/2020,133174,133685,132878,132962,12699
GOOG,14/05/2020 09:50,14/05/2020,132966,13312,132391,132434,17150
GOOG,14/05/2020 09:55,14/05/2020,132447,132886,132438,1326285,15491
GOOG,14/05/2020 10:00,14/05/2020,132591,1327726,132477,132524,7938
GOOG,14/05/2020 10:05,14/05/2020,132595,133378,132595,13335,12910
GOOG,14/05/2020 10:10,14/05/2020,13335,133667,133113,133113,10215
GOOG,14/05/2020 10:15,14/05/2020,1331832,133385,132762,1330,10147
GOOG,14/05/2020 10:20,14/05/2020,132938,133136,132866,1330908,11710
GOOG,14/05/2020 10:25,14/05/2020,133049,133349,132602,132604,6689
GOOG,14/05/2020 10:30,14/05/2020,132661,133084,132655,13268,12670
GOOG,14/05/2020 10:35,14/05/2020,1327399,13344,132548,13344,8264
GOOG,14/05/2020 10:40,14/05/2020,133353,1333682,1329034,133128,8014
GOOG,14/05/2020 10:45,14/05/2020,133158,1335167,132901,1335,8443
GOOG,14/05/2020 10:50,14/05/2020,1335,1336,133223,13346,5278
GOOG,14/05/2020 10:55,14/05/2020,133408,133408,132918,132978,7684
GOOG,14/05/2020 11:00,14/05/2020,132906,133316,132899,133221,9474
GOOG,14/05/2020 11:05,14/05/2020,133161,133618,133157,133463,9238
GOOG,14/05/2020 11:10,14/05/2020,133431,133597,133321,133477,4460
GOOG,14/05/2020 11:15,14/05/2020,13351,133856,13351,133724,4952
GOOG,14/05/2020 11:20,14/05/2020,1337,133866,133455,133536,5806
GOOG,14/05/2020 11:25,14/05/2020,133534,133534,133336,1333505,4040
GOOG,14/05/2020 11:30,14/05/2020,133453,133856,133412,133739,7600
GOOG,14/05/2020 11:35,14/05/2020,133838,1340986,133552,133552,7129
GOOG,14/05/2020 11:40,14/05/2020,133431,13367,133351,133615,5893
